"id","type","mass","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","Points:0","Points:1","Points:2"
330,1,0.027008,0,0,0,-3.97e-13,3.4111e-13,-1.2933e-13,9.0267e-11,5.69e-11,4.2249e-11,0.00599,0.094276,0.042817,0.047436
320,1,0.028946,0,0,0,9.0333e-13,6.2774e-13,3.5266e-13,-9.0949e-12,2.7285e-12,-8.481e-11,0.00613,0.0055701,0.057906,0.039583
285,1,0.037626,0,0,0,2.9085e-12,2.1266e-12,5.8189e-13,6.8141e-11,-2.3192e-11,1.6553e-10,0.00669,0.038142,0.069572,0.04431
282,1,0.038992,0,0,0,1.625e-12,6.825e-13,3.7641e-13,2.9559e-11,-1.4597e-10,-6.8212e-11,0.00677,0.014541,0.075245,0.043526
363,1,0.019568,0,0,0,1.6164e-12,8.5742e-13,-1.8387e-13,-1.7224e-11,6.23e-11,1.3642e-11,0.00538,0.030252,0.075596,0.038307
345,1,0.023028,0,0,0,9.2927e-13,7.0585e-14,3.4783e-13,-2.6375e-11,3.3651e-11,-2.3249e-11,0.00568,0.0086424,0.095069,0.043167
276,1,0.041102,0,0,0,5.329e-12,-2.0375e-12,-1.1048e-12,-5.9117e-11,-7.3214e-11,6.5484e-11,0.00689,0.035209,0.085486,0.043178
325,1,0.027966,0,0,0,4.3862e-12,5.6376e-13,-4.151e-13,2.2993e-11,5.9117e-12,2.7875e-11,0.00606,0.027724,0.094288,0.047745
339,1,0.02414,0,0,0,6.8367e-12,7.0745e-13,3.0989e-12,-8.95e-11,8.6857e-11,6.8496e-11,0.00577,0.063453,0.094461,0.053058
294,1,0.035151,0,0,0,3.3023e-13,-6.382e-13,-3.7842e-13,7.7762e-11,-2.3442e-10,1.6098e-10,0.00654,0.082226,0.090324,0.0462
342,1,0.023641,0,0,0,4.0065e-13,6.2082e-14,-2.6468e-13,-7.9808e-11,-5.8208e-11,-1.9554e-11,0.00573,0.093831,0.084809,0.040636
297,1,0.034035,0,0,0,6.1355e-14,1.1404e-13,2.5351e-13,3.9506e-12,1.3642e-12,2.8791e-11,0.00647,0.0168,0.0063062,0.04893
266,1,0.047492,0,0,0,-5.1591e-13,5.6478e-13,3.5338e-13,1.9327e-11,1.0914e-11,-1.2733e-11,0.00723,0.031606,0.0082535,0.052073
301,1,0.033252,0,0,0,8.5718e-13,3.5127e-14,-9.9567e-13,-4.6114e-11,6.4574e-11,8.0149e-11,0.00642,0.058356,0.0059559,0.046796
391,1,0.01416,0,0,0,3.7098e-13,1.8543e-13,6.1453e-13,-2.16e-11,1.5916e-11,-1.7735e-11,0.00483,0.057948,0.0042546,0.033339
354,1,0.020793,0,0,0,5.4028e-13,-5.9552e-13,-4.5817e-12,-1.6598e-11,9.0949e-13,8.4583e-11,0.00549,0.065573,0.014278,0.045285
290,1,0.0358,0,0,0,-5.2449e-13,-2.5253e-13,-6.7089e-13,7.9353e-11,5.6389e-11,-1.3642e-11,0.00658,0.076461,0.016755,0.050544
385,1,0.016088,0,0,0,-4.4348e-13,-2.4325e-13,-3.9208e-13,4.9596e-11,-8.6509e-12,1.3927e-12,0.00504,0.09504,0.013219,0.045568
358,1,0.019898,0,0,0,2.1189e-13,5.5328e-13,1.0354e-12,3.2287e-11,2.6631e-11,8.4128e-12,0.00541,0.004923,0.033201,0.043423
377,1,0.016866,0,0,0,1.9412e-13,6.6986e-13,1.9257e-13,1.4211e-11,-5.2296e-12,7.276e-12,0.00512,0.019884,0.020772,0.050552
334,1,0.024646,0,0,0,-2.4e-12,8.8506e-13,4.3741e-13,1.0243e-10,1.2989e-11,1.0141e-10,0.00581,0.045994,0.017019,0.050916
268,1,0.04632,0,0,0,9.1037e-12,3.0691e-12,-2.9085e-12,-2.6102e-10,-1.7326e-10,2.301e-10,0.00717,0.058259,0.021711,0.051472
323,1,0.028523,0,0,0,-3.4393e-13,-1.2031e-13,-3.3133e-13,1.9702e-10,-7.8984e-11,4.6839e-11,0.0061,0.09412,0.02346,0.050111
317,1,0.029373,0,0,0,4.2191e-13,-7.5005e-14,-3.2823e-13,1.9554e-10,-5.3831e-11,4.0018e-11,0.00616,0.094576,0.021463,0.038527
287,1,0.036789,0,0,0,1.5624e-12,4.4978e-13,1.0428e-12,4.286e-11,4.1837e-11,6.0027e-11,0.00664,0.023168,0.043764,0.048651
